U I Ig I' I'g I'' I''g
-3.700000 -0.916663 -0.912439 0.213943 0.210733 0.026159 0.026368
-3.600000 -0.891908 -0.890593 0.216002 0.213279 0.025840 0.026271
-3.500000 -0.875019 -0.869296 0.215581 0.215941 0.027050 0.026330
-3.400000 -0.849855 -0.847346 0.221613 0.218715 0.029387 0.026345
-3.300000 -0.845940 -0.825154 0.219597 0.221765 0.030081 0.026332
-3.200000 -0.802703 -0.803395 0.218354 0.224606 0.025321 0.026691
-3.100000 -0.782473 -0.781205 0.228210 0.226973 0.026647 0.027022
-3.000000 -0.775201 -0.757776 0.237252 0.229996 0.030691 0.026744
-2.900000 -0.738926 -0.734055 0.234468 0.232904 0.025662 0.026329
-2.800000 -0.709236 -0.710895 0.231840 0.235221 0.024982 0.026318
-2.700000 -0.704742 -0.687521 0.236059 0.237983 0.027632 0.026347
-2.600000 -0.666577 -0.663710 0.238209 0.240652 0.025958 0.026274
-2.500000 -0.649798 -0.639847 0.241728 0.243194 0.025638 0.026203
-2.400000 -0.615206 -0.615358 0.245227 0.245760 0.024051 0.025959
-2.300000 -0.590074 -0.590775 0.249857 0.248076 0.024996 0.025505
-2.200000 -0.576369 -0.565403 0.254433 0.250849 0.030034 0.025016
-2.100000 -0.543111 -0.540040 0.252079 0.253915 0.028520 0.024783
-2.000000 -0.505820 -0.514804 0.258110 0.256425 0.022006 0.024374
-1.900000 -0.488579 -0.488471 0.262005 0.258457 0.021092 0.023539
-1.800000 -0.472633 -0.462580 0.257745 0.260781 0.025367 0.023008
-1.700000 -0.437101 -0.436655 0.265334 0.263453 0.026184 0.022548
-1.600000 -0.416649 -0.409570 0.269998 0.265950 0.024608 0.021807
-1.500000 -0.390777 -0.382794 0.269379 0.268393 0.024359 0.021041
-1.400000 -0.360747 -0.355689 0.269460 0.270771 0.021931 0.020244
-1.300000 -0.333607 -0.328863 0.270263 0.272788 0.019849 0.019596
-1.200000 -0.313145 -0.301471 0.277825 0.274795 0.019815 0.018760
-1.100000 -0.270080 -0.273366 0.282728 0.276764 0.020420 0.017348
-1.000000 -0.252501 -0.245100 0.280922 0.278800 0.018065 0.015973
-0.900000 -0.222213 -0.217168 0.279930 0.280321 0.013146 0.014973
